Time resolution is 1 ps
LOG_M=         10, di_count=   x, bf1_bf=x, bf2_bf=x, bf1_count=   x, tw_sel=xx, tw_num=  x, tw_addr=   x, mu_en=x
LOG_M=         10, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   1, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   2, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   3, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   4, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   5, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   6, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   7, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   8, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=   9, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  10, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  11, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  12, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  13, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  14, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  15, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  16, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  17, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  18, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  19, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=         10, di_count=  20, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          8, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          6, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          4, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
LOG_M=          2, di_count=   0, bf1_bf=0, bf2_bf=0, bf1_count=   0, tw_sel=00, tw_num=  0, tw_addr=   0, mu_en=0
